                 Country, Voice & Accountability, Pol. Stability & Abs. of Violence, Govt. Effectiveness, Regulatory Quality, Rule of Law, Control of Corruption, Total Tests, Total Deaths, Total Cases, Total Vaccinations, Fully Vaccinated,   population
         Slovak Republic,                0.69225,                               0.7,                0.75,               0.65,     0.71875,                   0.5,    44755137,        14503,     1182562,            4989920,          2346758,    5460726.0
                Slovenia,                  0.752,                              0.75,                0.75,               0.75,      0.8125,                  0.75,     1943304,         5240,      423162,            2688239,          1151722,    2078723.0
                  Sweden,                 0.9005,                               0.9,                   1,               0.75,     0.96875,                     1,            ,        15161,     1207498,           15894823,          7146405,   10160159.0
               Swaziland,                0.31025,                               0.4,                0.25,                0.6,      0.4375,                   0.5,            ,         1248,       46753,             306445,           260763,    1172369.0
              Seychelles,                 0.5625,                              0.75,                 0.5,                0.6,     0.53125,                     1,            ,          127,       23537,             179462,            77951,      98910.0
    Syrian Arab Republic,                0.10275,                                 0,                   0,               0.25,           0,                     0,            ,         2755,       48267,            1422377,           739210,   18275704.0
                    Chad,                   0.14,                              0.35,                   0,                0.4,     0.21875,                     0,            ,          175,        5107,             258618,            72824,   16914985.0
                    Togo,                  0.265,                               0.3,                0.25,               0.35,     0.34375,                  0.25,      579706,          243,       26273,            1665087,           567834,    8478242.0
                Thailand,                0.45825,                               0.4,                 0.5,                0.5,     0.59375,                  0.25,    16163876,        20814,     2120758,           93231463,         41485442,   69950844.0
              Tajikistan,                0.12825,                              0.35,                   0,                0.3,      0.1875,                     0,            ,          125,       17493,            5291837,          2411511,    9749625.0
            Turkmenistan,                  0.086,                              0.55,                   0,                  0,      0.1875,                     0,            ,             ,            ,            7580976,          3206282,    6117933.0
             Timor-Leste,                 0.5405,                              0.55,                   0,               0.45,      0.1875,                  0.25,      211166,          122,       19825,            1068010,           431739,    1343875.0
     Trinidad and Tobago,                  0.608,                               0.7,                0.25,               0.45,         0.5,                   0.5,      357432,         2177,       72019,            1290935,           644888,    1403374.0
                 Tunisia,                0.54825,                               0.4,                 0.5,                0.5,     0.53125,                  0.25,     3177078,        25376,      717710,           10560342,          5156641,   11935764.0
                  Turkey,    0.34900000000000003,                               0.3,               0.375,               0.55,     0.46875,                  0.25,   107972138,        77038,     8820114,          120516813,         50505240,   85042736.0
                  Taiwan,                0.79075,                               0.7,                0.75,                0.7,     0.78125,                  0.75,     4491850,          848,       16609,           31810156,         13538021,   23855008.0
                Tanzania,                0.41125,                               0.5,               0.125,                0.4,      0.3125,                  0.25,            ,          730,       26270,            1001610,           965778,   61498438.0
                  Uganda,                0.40325,                               0.3,                0.25,                0.4,         0.5,                  0.25,     1958401,         3252,      127589,            4751422,           912983,   47123533.0
                 Ukraine,                  0.478,                              0.25,               0.375,                0.5,     0.34375,                     0,    15917165,        91860,     3619223,           24952848,         11434041,   43466822.0
                 Uruguay,                0.83675,                               0.7,                 0.5,                0.5,     0.65625,                  0.75,     4114672,         6131,      399966,            6796392,          2657437,    3485152.0
           United States,                0.73975,                              0.65,                0.75,               0.65,       0.875,                  0.75,   662998131,       782100,    48692492,          462263845,        195857569,  332915074.0
              Uzbekistan,                0.13725,                              0.45,                   0,                0.1,     0.15625,                     0,            ,         1406,      193424,           33672515,          5882086,   33935765.0
               Venezuela,                       ,               0.20049999999999998,                0.05,                  0,        0.25,                     0,            ,         5161,      432514,           26314390,          9858581,   28704947.0
                 Vietnam,                0.24075,                              0.55,               0.375,                0.5,     0.46875,                  0.25,    31083226,        25448,     1252590,          122083464,         50940072,   98168829.0
      West Bank and Gaza,                0.34775,                                 0,                0.25,                0.7,      0.4375,                  0.25,            ,         4803,      460799,            3024477,          1365858,    5222756.0
                  Jersey,                 0.8125,                               0.9,                0.75,               0.75,      0.9375,                  0.75,            ,             ,            ,             184891,            75166,     101073.0
                   Yemen,                       ,                              0.16,                   0,                  0,         0.5,               0.15625,            ,         1950,       10006,             774953,           361351,   30490639.0
                  Serbia,     0.5609999999999999,                              0.55,               0.375,                0.6,         0.5,                  0.25,     6830241,        11744,     1257025,            7899611,          3123638,    6871547.0
            South Africa,                0.63375,                              0.65,               0.625,                0.6,      0.4375,                   0.5,    19529031,        89871,     2976613,           25782259,         14561395,   60041996.0
                   Congo,                0.08775,                              0.25,                   0,                0.2,      0.0625,                     0,            ,          354,       18970,             625579,           128936,    5657017.0
                  Zambia,                 0.4305,                              0.55,                0.25,               0.35,     0.34375,                  0.25,     2716971,         3667,      210195,            1086607,           691735,   18920657.0
                Zimbabwe,                0.18925,                               0.2,                   0,                0.1,     0.15625,                     0,     1453184,         4707,      135337,            6640440,          2830540,   15092171.0
