                         Country, human_development_index, Total Tests, Total Deaths, Total Cases, Population Size, Latest Cases, Total Vaccinations, Fully Vaccinated
                     South Sudan,      43.300000000000004,      164472,          133,       12777,        11381377,           19,             218154,           133315
                           Spain,                    90.4,    64470158,        88080,     5174720,        46745211,        10536,           76680144,         37624032
                       Sri Lanka,                    78.2,     5668105,        14372,      564733,        21497306,          744,           29682085,         13749891
                           Sudan,      5.1000000000000005,            ,         3159,       43229,        44909351,          145,            1659666,           581846
                        Suriname,                    73.8,            ,         1169,       50882,          591798,           34,             476893,           219236
                          Sweden,                    94.5,            ,        15161,     1207498,        10160159,         2639,           15894823,          7146405
                     Switzerland,                    95.5,    12403612,        11548,     1025129,         8715494,        10467,           11914527,          5700793
                           Syria,                    56.7,            ,         2755,       48267,        18275704,           97,            1422377,           739210
                          Taiwan,                       0,     4491850,          848,       16609,        23855008,            8,           31810156,         13538021
                      Tajikistan,                    66.8,            ,          125,       17493,         9749625,            0,            5291837,          2411511
                        Tanzania,      52.900000000000006,            ,          730,       26270,        61498438,            0,            1001610,           965778
                        Thailand,                    77.7,    16163876,        20814,     2120758,        69950844,         4886,           93231463,         41485442
                           Timor,                    60.6,      211166,          122,       19825,         1343875,            2,            1068010,           431739
                            Togo,                    51.5,      579706,          243,       26273,         8478242,            8,            1665087,           567834
                         Tokelau,                       0,            ,             ,            ,            1368,             ,               1936,              968
                           Tonga,                    72.5,            ,             ,           1,          106759,            0,             118185,            45002
             Trinidad and Tobago,       79.60000000000001,      357432,         2177,       72019,         1403374,          658,            1290935,           644888
                         Tunisia,                     7.4,     3177078,        25376,      717710,        11935764,          138,           10560342,          5156641
                          Turkey,       8.200000000000001,   107972138,        77038,     8820114,        85042736,        22556,          120516813,         50505240
                    Turkmenistan,                    71.5,            ,             ,            ,         6117933,             ,            7580976,          3206282
        Turks and Caicos Islands,                       0,            ,             ,            ,           39226,             ,              56343,            27133
                          Tuvalu,                       0,            ,             ,            ,           11925,             ,              12114,             5884
                          Uganda,      54.400000000000006,     1958401,         3252,      127589,        47123533,           39,            4751422,           912983
                         Ukraine,                    77.9,    15917165,        91860,     3619223,        43466822,        12601,           24952848,         11434041
            United Arab Emirates,                     8.9,    97208646,         2148,      742109,         9991083,           68,           21548528,          8832256
                  United Kingdom,                    93.2,   328984664,       145586,    10333672,        68207114,        47927,          116001687,         46399306
                   United States,       92.60000000000001,   662998131,       782100,    48692492,       332915074,       137602,          462263845,        195857569
                         Uruguay,                    81.7,     4114672,         6131,      399966,         3485152,          271,            6796392,          2657437
                      Uzbekistan,                     7.2,            ,         1406,      193424,        33935765,          216,           33672515,          5882086
                         Vanuatu,      60.900000000000006,            ,            1,           6,          314464,            0,             129582,            40110
                         Vatican,                       0,            ,             ,          27,             812,            0,                   ,                 
                       Venezuela,       71.10000000000001,            ,         5161,      432514,        28704947,         1218,           26314390,          9858581
                         Vietnam,                    70.4,    31083226,        25448,     1252590,        98168829,        14508,          122083464,         50940072
               Wallis and Futuna,                       0,            ,             ,            ,           11094,             ,              11939,             5923
                           World,                    73.7,            ,      5224655,   263510704,      7874965730,       704256,         8065741231,       3446257947
                           Yemen,                     4.7,            ,         1950,       10006,        30490639,            2,             774953,           361351
                          Zambia,      58.400000000000006,     2716971,         3667,      210195,        18920657,           26,            1086607,           691735
                        Zimbabwe,                    57.1,     1453184,         4707,      135337,        15092171,          712,            6640440,          2830540
